,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Dana McLemore 93 yard punt return (Ray Wersching kick),0,7
1,1.0,Rams,Wendell Tyler 3 yard pass from Vince Ferragamo (Mike Lansford kick),7,7
2,2.0,49ers,Mike Wilson 19 yard pass from Joe Montana (Ray Wersching kick),7,14
3,2.0,49ers,Renaldo Nehemiah 29 yard pass from Joe Montana,7,20
4,3.0,Rams,Wendell Tyler 1 yard rush (Mike Lansford kick),14,20
5,4.0,Rams,George Farmer 42 yard pass from Vince Ferragamo (Mike Lansford kick),21,20
