,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Red Grange 2 yard rush (Joey Sternaman kick),0,7
1,1.0,Giants,Tony Plansky 6 yard rush,6,7
2,3.0,Giants,Tony Plansky unknown yard rush (Ray Flaherty pass from Benny Friedman),13,7
3,3.0,Giants,Ray Flaherty 35 yard pass from Benny Friedman (Tony Plansky kick),20,7
4,3.0,Giants,Snitz Snyder 2 yard rush,26,7
5,4.0,Bears,Laurie Walquist 6 yard rush (Joey Sternaman kick),26,14
