,Quarter,Time,Tm,Detail,SDG,CAR
0,1.0,9:25,Panthers,Muhsin Muhammad 11 yard pass from Steve Beuerlein (Joe Nedney kick),0,7
1,1.0,1:32,Chargers,"Safety,",2,7
2,2.0,12:45,Chargers,Terrell Fletcher 25 yard pass from Ryan Leaf (John Carney kick),9,7
3,2.0,7:18,Chargers,Gerald Dixon 36 yard interception return (John Carney kick),16,7
4,3.0,12:46,Panthers,Isaac Byrd 34 yard pass from Steve Beuerlein (Joe Nedney kick),16,14
5,3.0,7:58,Chargers,Steve Heiden 4 yard pass from Ryan Leaf,22,14
6,3.0,1:52,Panthers,Iheanyi Uwaezuoke 64 yard punt return (pass failed),22,20
7,4.0,13:40,Panthers,Joe Nedney 18 yard field goal,22,23
8,4.0,9:33,Panthers,Doug Evans 54 yard blocked field goal return (Joe Nedney kick),22,30
