,Quarter,Tm,Detail,NYY,CHI
0,1.0,Yanks,Jack Russell 49 yard pass from George Ratterman (Chet Adams kick),7,0
1,2.0,Bears,Johnny Lujack 2 yard rush (Johnny Lujack kick),7,7
2,2.0,Yanks,Dan Edwards 44 yard pass from George Ratterman (Chet Adams kick),14,7
3,3.0,Bears,Red O'Quinn 5 yard interception return (Johnny Lujack kick),14,14
4,3.0,Bears,Julie Rykovich 3 yard rush (Johnny Lujack kick),14,21
5,4.0,Bears,Chuck Hunsinger 2 yard rush (Johnny Lujack kick),14,28
6,4.0,Yanks,George Taliaferro 7 yard rush,20,28
