,Quarter,Tm,Detail,NWE,SFO
0,1.0,49ers,Freddie Solomon 8 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,Patriots,John Smith 42 yard field goal,3,7
2,2.0,49ers,Earl Cooper 15 yard pass from Joe Montana (Ray Wersching kick),3,14
3,3.0,49ers,Eason Ramson 2 yard pass from Joe Montana (Ray Wersching kick),3,21
4,3.0,Patriots,Mosi Tatupu 2 yard rush (John Smith kick),10,21
5,4.0,Patriots,Mosi Tatupu 1 yard rush (John Smith kick),17,21
