,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,,Steelers,Kordell Stewart 7 yard rush (Norm Johnson kick),0,7
1,1.0,,Steelers,Norm Johnson 48 yard field goal,0,10
2,2.0,8:43,Steelers,Jason Gildon 12 yard defensive fumble return (Norm Johnson kick),0,17
3,2.0,8:43,Oilers,Al Del Greco 37 yard field goal,3,17
4,2.0,8:43,Steelers,Mark Bruener 18 yard pass from Kordell Stewart (Norm Johnson kick),3,24
5,2.0,8:43,Steelers,Kordell Stewart 2 yard rush (Norm Johnson kick),3,31
6,2.0,8:43,Oilers,Al Del Greco 47 yard field goal,6,31
7,3.0,8:43,Oilers,Al Del Greco 26 yard field goal,9,31
8,3.0,8:43,Steelers,Norm Johnson 25 yard field goal,9,34
9,4.0,8:43,Steelers,Norm Johnson 44 yard field goal,9,37
10,4.0,8:43,Oilers,Frank Wycheck 10 yard pass from Steve McNair (Frank Wycheck pass from Steve McNair),17,37
11,4.0,8:43,Oilers,Willie Davis 11 yard pass from Steve McNair (Al Del Greco kick),24,37
