,Quarter,Tm,Detail,STL,GNB
0,2,Packers,Paul Hornung 13 yard field goal,0,3
1,3,Packers,Paul Hornung 3 yard rush (Paul Hornung kick),0,10
2,4,Packers,Max McGee 19 yard pass from Bart Starr (Paul Hornung kick),0,17
