,Quarter,Time,Tm,Detail,NYG,DET
0,1.0,,Lions,Scott Mitchell 1 yard rush (Jason Hanson kick),0,7
1,1.0,,Giants,"Safety, Wooten blocked punt out of end zone",2,7
2,2.0,,Giants,Chris Calloway 24 yard pass from Tyrone Wheatley (run failed),8,7
3,2.0,,Giants,Brad Daluiso 38 yard field goal,11,7
4,2.0,,Giants,Maurice Douglass 32 yard interception return (Brad Daluiso kick),18,7
5,2.0,6:49,Giants,Thomas Lewis 23 yard pass from Dave Brown (Brad Daluiso kick),25,7
6,4.0,6:49,Giants,Brad Daluiso 32 yard field goal,28,7
7,4.0,8:36,Giants,Ray Agnew 34 yard interception return (Brad Daluiso kick),35,7
