,Quarter,Time,Tm,Detail,MIN,OAK
0,1,,Vikings,Scott Sisson 22 yard field goal,3,0
1,1,,Vikings,Jake Reed 82 yard pass from Brad Johnson (Scott Sisson kick),10,0
2,2,,Raiders,Terry McDaniel 52 yard interception return (Cole Ford kick),10,7
3,3,,Raiders,Cole Ford 26 yard field goal,10,10
4,4,,Vikings,Scott Sisson 24 yard field goal,13,10
5,4,,Raiders,Cole Ford 41 yard field goal,13,13
6,OT,,Vikings,Scott Sisson 31 yard field goal,16,13
