,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,2:54,Dolphins,Reggie Bush 17 yard pass from Ryan Tannehill (Nate Kaeding kick),0,7
1,2.0,9:48,Bills,Rian Lindell 42 yard field goal,3,7
2,2.0,0:42,Dolphins,Reggie Bush 1 yard rush (Nate Kaeding kick),3,14
3,3.0,8:32,Dolphins,Reggie Bush 12 yard pass from Ryan Tannehill (Nate Kaeding kick),3,21
4,3.0,4:17,Dolphins,Nate Kaeding 45 yard field goal,3,24
5,4.0,8:52,Bills,Brad Smith 2 yard pass from Ryan Fitzpatrick (Rian Lindell kick),10,24
