,Quarter,Tm,Detail,CRD,PIT
0,1.0,Cardinals,Mal Kutner 42 yard pass from Ray Mallouf (Pat Harder kick),7,0
1,1.0,Cardinals,Charley Trippi 67 yard punt return (Pat Harder kick),14,0
2,1.0,Steelers,Jerry Shipkey 16 yard rush (Joe Glamp kick),14,7
3,2.0,Cardinals,Pat Harder 8 yard rush (Pat Harder kick),21,7
4,4.0,Cardinals,Vinnie Yablonski 41 yard field goal,24,7
