,Quarter,Time,Tm,Detail,SFO,JAX
0,1.0,10:33,49ers,Joe Nedney 35 yard field goal,3,0
1,2.0,6:26,Jaguars,David Garrard 13 yard rush (Josh Scobee kick),3,7
2,2.0,0:01,49ers,Joe Nedney 47 yard field goal,6,7
3,4.0,14:56,49ers,Joe Nedney 33 yard field goal,9,7
4,4.0,9:41,Jaguars,Josh Scobee 32 yard field goal,9,10
