,Quarter,Tm,Detail,PIT,SEA
0,2.0,Seahawks,Daryl Turner 4 yard pass from Dave Krieg,0,6
1,3.0,Seahawks,Dave Brown 18 yard interception return (Norm Johnson kick),0,13
2,3.0,Seahawks,Norm Johnson 24 yard field goal,0,16
3,4.0,Seahawks,Steve Largent 10 yard pass from Dave Krieg (Norm Johnson kick),0,23
4,4.0,Seahawks,Randall Morris 49 yard rush (Norm Johnson kick),0,30
