,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,3:43,Eagles,Jake Elliott 31 yard field goal,3,0
1,2.0,5:20,Giants,Aldrick Rosas 37 yard field goal,3,3
2,2.0,2:01,Eagles,Joshua Perkins 24 yard pass from Carson Wentz (Jake Elliott kick),10,3
3,3.0,9:50,Giants,Golden Tate 20 yard pass from Daniel Jones (Aldrick Rosas kick),10,10
4,3.0,2:28,Eagles,Boston Scott 7 yard rush (Jake Elliott kick),17,10
5,3.0,2:16,Giants,Saquon Barkley 68 yard rush (Aldrick Rosas kick),17,17
6,4.0,14:03,Eagles,Jake Elliott 50 yard field goal,20,17
7,4.0,13:03,Eagles,Boston Scott 2 yard rush (Jake Elliott kick),27,17
8,4.0,6:19,Eagles,Boston Scott 2 yard rush (Jake Elliott kick),34,17
