,Quarter,Tm,Detail,KAN,HOU
0,2.0,Oilers,Drew Hill 23 yard pass from Warren Moon,0,6
1,2.0,Chiefs,Nick Lowery 35 yard field goal,3,6
2,3.0,Oilers,Chris Dressel 3 yard pass from Warren Moon (Tony Zendejas kick),3,13
3,3.0,Chiefs,Nick Lowery 39 yard field goal,6,13
4,3.0,Oilers,Butch Woolfolk 4 yard rush (Tony Zendejas kick),6,20
5,4.0,Chiefs,Herman Heard 6 yard pass from Bill Kenney (Nick Lowery kick),13,20
6,4.0,Chiefs,Stephone Paige 18 yard pass from Bill Kenney (Nick Lowery kick),20,20
7,4.0,Oilers,Tony Zendejas 38 yard field goal,20,23
