,Quarter,Time,Tm,Detail,DEN,IND
0,2.0,13:00,Broncos,Brandon McManus 21 yard field goal,3,0
1,2.0,5:37,Broncos,Brandon McManus 29 yard field goal,6,0
2,2.0,0:06,Colts,Adam Vinatieri 55 yard field goal,6,3
3,3.0,11:42,Broncos,Royce Freeman 4 yard rush (Brandon McManus kick),13,3
4,3.0,6:09,Colts,Adam Vinatieri 45 yard field goal,13,6
5,3.0,2:32,Colts,Marlon Mack 10 yard rush (Adam Vinatieri kick failed),13,12
6,4.0,0:26,Colts,Adam Vinatieri 51 yard field goal,13,15
