,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Bob Hoernschemeyer 49 yard rush (Doak Walker kick),7,0
1,1.0,Colts,Tommy Kalmanir 22 yard pass from Fred Enke (Buck McPhail kick),7,7
2,2.0,Lions,Doak Walker 23 yard field goal,10,7
3,2.0,Colts,George Taliaferro 21 yard pass from Fred Enke (Buck McPhail kick),10,14
4,2.0,Colts,Buck McPhail 45 yard field goal,10,17
5,3.0,Lions,Yale Lary 74 yard punt return (Doak Walker kick),17,17
6,3.0,Lions,Doak Walker 26 yard field goal,20,17
7,3.0,Lions,Bob Hoernschemeyer 1 yard rush (Doak Walker kick),27,17
