,Quarter,Time,Tm,Detail,DAL,NYJ
0,1.0,10:27,Cowboys,Dez Bryant 3 yard pass from Tony Romo (Dan Bailey kick),7,0
1,2.0,3:16,Cowboys,Dan Bailey 34 yard field goal,10,0
2,2.0,0:37,Jets,Dustin Keller 4 yard pass from Mark Sanchez (Nick Folk kick),10,7
3,3.0,8:05,Cowboys,Miles Austin 36 yard pass from Tony Romo (Dan Bailey kick),17,7
4,3.0,4:01,Jets,Nick Folk 34 yard field goal,17,10
5,4.0,14:50,Cowboys,Felix Jones 1 yard rush (Dan Bailey kick),24,10
6,4.0,11:56,Jets,Plaxico Burress 26 yard pass from Mark Sanchez (Nick Folk kick),24,17
7,4.0,5:00,Jets,Isaiah Trufant 18 yard blocked punt return (Nick Folk kick),24,24
8,4.0,0:27,Jets,Nick Folk 50 yard field goal,24,27
