,Quarter,Tm,Detail,CLE,PRV
0,3.0,Bulldogs,Al Bloodgood unknown yard field goal,3,0
1,3.0,Bulldogs,Proc Randels blocked punt recovery in end zone (Al Bloodgood kick),10,0
2,4.0,Bulldogs,Al Bloodgood unknown yard rush,16,0
3,4.0,Bulldogs,Al Bloodgood unknown yard rush,22,0
