,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,Adrian Cooper 47 yard pass from Bubby Brister (Gary Anderson kick),0,7
1,1.0,Steelers,Gary Anderson 47 yard field goal,0,10
2,2.0,Bengals,David Fulcher 27 yard interception return (Jim Breech kick),7,10
3,3.0,Bengals,Jim Breech 39 yard field goal,10,10
4,4.0,Steelers,Keith Cash 19 yard pass from Bubby Brister (Gary Anderson kick),10,17
