,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Brent Fullwood 2 yard rush,0,6
1,2.0,Bears,Neal Anderson 45 yard rush (Kevin Butler kick),7,6
2,2.0,Bears,Neal Anderson 4 yard rush (Kevin Butler kick),14,6
3,2.0,Bears,Kevin Butler 35 yard field goal,17,6
4,4.0,Bears,Thomas Sanders 5 yard rush (Kevin Butler kick),24,6
