,Quarter,Tm,Detail,CIN,ATL
0,1.0,Bengals,Jim Breech 31 yard field goal,3,0
1,3.0,Falcons,Floyd Dixon 44 yard pass from Scott Campbell (Mick Luckhurst kick),3,7
2,4.0,Bengals,Jim Breech 22 yard field goal,6,7
3,4.0,Falcons,Mick Luckhurst 44 yard field goal,6,10
4,4.0,Bengals,Jim Breech 30 yard field goal,9,10
5,4.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),16,10
