,Quarter,Tm,Detail,DET,NYG
0,1.0,Lions,Cloyce Box 17 yard pass from Frank Tripucka (Bill Dudley kick),7,0
1,2.0,Giants,Gene Roberts 1 yard rush (Ben Agajanian kick),7,7
2,2.0,Lions,Bob Mann 41 yard pass from Frank Tripucka (Bill Dudley kick),14,7
3,2.0,Lions,Bill Dudley 24 yard field goal,17,7
4,3.0,Giants,Ray Coates 12 yard pass from Charlie Conerly (Ben Agajanian kick),17,14
5,3.0,Giants,Emlen Tunnell 55 yard interception return (Ben Agajanian kick),17,21
6,3.0,Lions,Camp Wilson 8 yard rush (Bill Dudley kick),24,21
7,3.0,Lions,Bill Dudley 1 yard rush (Bill Dudley kick),31,21
8,4.0,Lions,Chick Maggioli 7 yard fumble return (Bill Dudley kick),38,21
9,4.0,Lions,John Greene 6 yard pass from Frank Tripucka (Bill Dudley kick),45,21
