,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Eddie Murray 38 yard field goal,3,0
1,2.0,Lions,Vince Thompson 9 yard rush (Eddie Murray kick),10,0
2,2.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),10,7
3,2.0,Packers,Paul Coffman 5 yard pass from Lynn Dickey (Jan Stenerud kick),10,14
4,3.0,Packers,James Lofton 15 yard pass from Lynn Dickey (Jan Stenerud kick),10,21
5,3.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),17,21
6,4.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),17,28
7,4.0,Packers,Jan Stenerud 36 yard field goal,17,31
