,Quarter,Tm,Detail,HOU,TAM
0,2.0,Buccaneers,Adger Armstrong 6 yard pass from Jack Thompson,0,6
1,2.0,Buccaneers,Kevin House 25 yard pass from Jack Thompson (run failed),0,12
2,2.0,Oilers,Florian Kempf 51 yard field goal,3,12
3,3.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),10,12
4,3.0,Buccaneers,Kevin House 41 yard pass from Jack Thompson (Bill Capece kick),10,19
5,3.0,Buccaneers,James Owens 4 yard rush (Bill Capece kick),10,26
6,4.0,Oilers,Earl Campbell 2 yard rush (Florian Kempf kick),17,26
7,4.0,Buccaneers,Jim Obradovich 3 yard pass from Jack Thompson (Bill Capece kick),17,33
8,4.0,Oilers,Chris Dressel 7 yard pass from Oliver Luck (Florian Kempf kick),24,33
