,Quarter,Time,Tm,Detail,DAL,SEA
0,1.0,10:17,Seahawks,Ricky Watters 1 yard rush (Rian Lindell kick),0,7
1,1.0,2:58,Seahawks,Rian Lindell 22 yard field goal,0,10
2,2.0,12:42,Cowboys,Jon Hilbert 37 yard field goal,3,10
3,3.0,3:48,Seahawks,"Safety,",3,12
4,4.0,13:10,Seahawks,Rian Lindell 37 yard field goal,3,15
5,4.0,6:37,Seahawks,Shaun Alexander 7 yard rush (Rian Lindell kick),3,22
6,4.0,6:19,Seahawks,Ike Charlton 38 yard interception return (Rian Lindell kick),3,29
