,Quarter,Tm,Detail,MIA,HOU
0,1.0,Oilers,"Safety, Roby fumbled out of end zone",0,2
1,2.0,Oilers,Tony Zendejas 32 yard field goal,0,5
2,2.0,Oilers,Alonzo Highsmith 3 yard rush (Tony Zendejas kick),0,12
3,2.0,Oilers,Allen Pinkett 2 yard pass from Warren Moon (Tony Zendejas kick),0,19
4,3.0,Oilers,Tony Zendejas 40 yard field goal,0,22
5,3.0,Oilers,Tony Zendejas 32 yard field goal,0,25
6,4.0,Oilers,Curtis Duncan 25 yard pass from Warren Moon (Tony Zendejas kick),0,32
7,4.0,Oilers,Allen Pinkett 10 yard rush (Tony Zendejas kick),0,39
8,4.0,Dolphins,Marc Logan 97 yard kickoff return (Pete Stoyanovich kick),7,39
