,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,,Falcons,Morten Andersen 25 yard field goal,0,3
1,1.0,,Falcons,Morten Andersen 51 yard field goal,0,6
2,2.0,,Falcons,Morten Andersen 55 yard field goal,0,9
3,3.0,,Falcons,Craig Heyward 5 yard pass from Jeff George (Morten Andersen kick),0,16
4,4.0,,Saints,Irv Smith 1 yard pass from Jim Everett (Doug Brien kick),7,16
5,4.0,,Saints,Irv Smith 5 yard pass from Jim Everett (Doug Brien kick),14,16
6,4.0,,Falcons,Morten Andersen 55 yard field goal,14,19
