,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,Windlan Hall 61 yard special teams fumble return (Bruce Gossett kick),0,7
1,2.0,49ers,Steve Spurrier 1 yard rush (Bruce Gossett kick),0,14
2,2.0,49ers,Doug Cunningham 3 yard rush (Bruce Gossett kick),0,21
3,2.0,49ers,Gene Washington 28 yard pass from Steve Spurrier (Bruce Gossett kick),0,28
4,3.0,Eagles,Harold Carmichael 14 yard pass from Roman Gabriel (Tom Dempsey kick),7,28
5,3.0,49ers,Bruce Gossett 25 yard field goal,7,31
6,4.0,Eagles,Charle Young 18 yard pass from Roman Gabriel (Tom Dempsey kick),14,31
7,4.0,Eagles,Tom Sullivan 1 yard rush (Tom Dempsey kick),21,31
8,4.0,49ers,Steve Spurrier 1 yard rush (Bruce Gossett kick),21,38
9,4.0,Eagles,Norm Bulaich 1 yard rush (Tom Dempsey kick),28,38
