,Quarter,Tm,Detail,BOS,KAN
0,1.0,Patriots,Gino Cappelletti 25 yard field goal,3,0
1,2.0,Chiefs,Robert Holmes 1 yard rush (Jan Stenerud kick),3,7
2,2.0,Chiefs,Jan Stenerud 42 yard field goal,3,10
3,4.0,Chiefs,Jan Stenerud 44 yard field goal,3,13
4,4.0,Chiefs,Robert Holmes 2 yard rush (Jan Stenerud kick),3,20
5,4.0,Chiefs,Jan Stenerud 24 yard field goal,3,23
6,4.0,Patriots,Bake Turner 12 yard pass from Joe Kapp (Gino Cappelletti kick),10,23
