,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Breezy Reid 1 yard rush (Fred Cone kick),0,7
1,2.0,Lions,Bobby Layne 1 yard rush (Doak Walker kick),7,7
2,2.0,Lions,Jug Girard 5 yard pass from Bobby Layne (Doak Walker kick),14,7
3,2.0,Packers,Fred Cone 17 yard field goal,14,10
4,3.0,Lions,Dorne Dibble 22 yard pass from Bobby Layne (Doak Walker kick),21,10
5,3.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),21,17
