,Quarter,Time,Tm,Detail,DEN,GNB
0,1.0,,Packers,Chris Jacke 33 yard field goal,0,3
1,1.0,,Broncos,Jason Elam 40 yard field goal,3,3
2,2.0,,Packers,Chris Jacke 22 yard field goal,3,6
3,2.0,,Packers,Antonio Freeman 14 yard pass from Brett Favre (Chris Jacke kick),3,13
4,3.0,,Broncos,Jason Elam 39 yard field goal,6,13
5,3.0,,Packers,Antonio Freeman 51 yard pass from Brett Favre (Chris Jacke kick),6,20
6,4.0,,Packers,Keith Jackson 1 yard pass from Brett Favre (Chris Jacke kick),6,27
7,4.0,,Packers,Antonio Freeman 25 yard pass from Brett Favre (Chris Jacke kick),6,34
8,4.0,,Packers,Don Beebe offensive fumble recovery in end zone (Chris Jacke kick),6,41
