,Quarter,Tm,Detail,BAL,MIA
0,1.0,Colts,Don Nottingham 4 yard rush (Jim O'Brien kick),7,0
1,3.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),7,7
2,3.0,Dolphins,Marv Fleming 10 yard pass from Bob Griese (Garo Yepremian kick),7,14
3,3.0,Colts,Norm Bulaich 4 yard rush (Jim O'Brien kick),14,14
4,4.0,Dolphins,Garo Yepremian 20 yard field goal,14,17
