,Quarter,Time,Tm,Detail,GNB,WAS
0,1.0,5:55,Packers,Ryan Longwell 37 yard field goal,3,0
1,2.0,13:41,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),10,0
2,2.0,6:28,Packers,Javon Walker 9 yard pass from Brett Favre (Ryan Longwell kick),17,0
3,2.0,1:50,Redskins,Rod Gardner 12 yard pass from Mark Brunell (Ola Kimrin kick),17,7
4,3.0,12:49,Packers,Ryan Longwell 39 yard field goal,20,7
5,4.0,4:46,Redskins,Rod Gardner 12 yard pass from Mark Brunell (Ola Kimrin kick),20,14
6,4.0,1:44,Packers,Ahman Green 11 yard rush (Robert Ferguson pass from Brett Favre ),28,14
