,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Jim Lee Howell 31 yard pass from Ed Danowski (Ward Cuff kick),0,7
1,2.0,Giants,Bull Karcis 1 yard rush (Ward Cuff kick),0,14
2,2.0,Giants,Len Barnum 1 yard rush (Ward Cuff kick),0,21
3,2.0,Giants,Ray Hanken 5 yard pass from Tuffy Leemans (Kink Richards kick),0,28
4,4.0,Dodgers,Beattie Feathers 8 yard rush (Ace Parker kick),7,28
5,4.0,Dodgers,Scrapper Farrell 26 yard rush (Ace Parker kick),14,28
