,Quarter,Tm,Detail,WAS,DEN
0,1.0,Broncos,Otis Armstrong 8 yard rush (Fred Steinfort kick),0,7
1,1.0,Redskins,Mark Moseley 23 yard field goal,3,7
2,2.0,Broncos,Fred Steinfort 57 yard field goal,3,10
3,3.0,Redskins,Wilbur Jackson 55 yard rush (Mark Moseley kick),10,10
4,3.0,Broncos,Fred Steinfort 23 yard field goal,10,13
5,4.0,Redskins,Art Monk 1 yard pass from Joe Theismann (Mark Moseley kick),17,13
6,4.0,Broncos,Rick Upchurch 32 yard pass from Craig Morton (Fred Steinfort kick),17,20
