,Quarter,Time,Tm,Detail,ARI,MIN
0,1.0,,Vikings,Scott Sisson 38 yard field goal,0,3
1,2.0,,Vikings,Scott Sisson 26 yard field goal,0,6
2,2.0,,Vikings,Amp Lee 19 yard pass from Brad Johnson (Scott Sisson kick),0,13
3,2.0,,Cardinals,Kevin Butler 38 yard field goal,3,13
4,3.0,,Vikings,Jake Reed 40 yard pass from Brad Johnson (Scott Sisson kick),3,20
5,3.0,,Vikings,Qadry Ismail 13 yard pass from Brad Johnson (Scott Sisson kick),3,27
6,4.0,2:00,Vikings,Cris Carter 4 yard pass from Brad Johnson (Scott Sisson kick),3,34
7,4.0,2:00,Cardinals,Larry Centers 9 yard pass from Boomer Esiason (Kevin Butler kick),10,34
8,4.0,2:00,Vikings,Leroy Hoard 1 yard rush (Scott Sisson kick),10,41
9,4.0,2:00,Cardinals,Larry Centers 1 yard rush (Kevin Butler kick),17,41
