,Quarter,Tm,Detail,TAM,GNB
0,2.0,Buccaneers,Adger Armstrong 16 yard pass from James Wilder (Obed Ariri kick),7,0
1,3.0,Buccaneers,Jerry Bell 9 yard pass from Steve DeBerg (Obed Ariri kick),14,0
2,3.0,Packers,Eddie Lee Ivery 4 yard rush (Al Del Greco kick),14,7
3,4.0,Packers,Lynn Dickey 1 yard rush (Al Del Greco kick),14,14
4,4.0,Packers,Ray Crouse 10 yard pass from Lynn Dickey,14,20
5,4.0,Packers,Eddie Lee Ivery 2 yard rush (Al Del Greco kick),14,27
