,Quarter,Tm,Detail,PHI,WAS
0,1.0,Redskins,Mark Moseley 37 yard field goal,0,3
1,2.0,Redskins,Mark Moseley 38 yard field goal,0,6
2,2.0,Redskins,Jerry Smith 2 yard pass from Billy Kilmer (Mark Moseley kick),0,13
3,3.0,Eagles,Harold Carmichael 3 yard pass from Roman Gabriel (Tom Dempsey kick),7,13
4,3.0,Redskins,Larry Jones 102 yard kickoff return (Mark Moseley kick),7,20
5,4.0,Redskins,Duane Thomas 3 yard rush,7,26
