,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Billy Wilson 6 yard pass from Y.A. Tittle,6,0
1,1.0,Packers,Paul Hornung 41 yard field goal,6,3
2,1.0,Packers,Billy Howton 16 yard pass from Babe Parilli,6,9
3,2.0,49ers,Gordie Soltau 17 yard field goal,9,9
4,3.0,49ers,Gordie Soltau 31 yard field goal,12,9
5,3.0,Packers,Paul Hornung 37 yard field goal,12,12
6,4.0,49ers,Billy Wilson 15 yard pass from Y.A. Tittle (Gordie Soltau kick),19,12
7,4.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),26,12
8,4.0,49ers,R.C. Owens 23 yard pass from Y.A. Tittle (Gordie Soltau kick),33,12
