,Quarter,Tm,Detail,WAS,NOR
0,1.0,Saints,Bill McClard 35 yard field goal,0,3
1,1.0,Saints,Bill Butler 9 yard pass from Archie Manning (Bill McClard kick),0,10
2,2.0,Saints,Bill McClard 43 yard field goal,0,13
3,2.0,Saints,Bill McClard 30 yard field goal,0,16
4,4.0,Redskins,Curt Knight 35 yard field goal,3,16
5,4.0,Saints,Bill McClard 37 yard field goal,3,19
