,Quarter,Tm,Detail,LAB,DET
0,2,Buccaneers,"Safety,",2,0
1,3,Panthers,Dinger Doane 19 yard rush,2,6
2,4,Buccaneers,Tut Imlay 6 yard rush (Tuffy Maul kick),9,6
