,Quarter,Tm,Detail,DEN,MIA
0,1.0,Broncos,Jim Turner 39 yard field goal,3,0
1,2.0,Broncos,Riley Odoms offensive fumble recovery in end zone (Jim Turner kick),10,0
2,3.0,Dolphins,Howard Twilley 10 yard pass from Earl Morrall (Garo Yepremian kick),10,7
3,4.0,Broncos,Jim Turner 39 yard field goal,13,7
4,4.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),13,14
