,Quarter,Time,Tm,Detail,BUF,CHI
0,1,11:35,Bears,Martellus Bennett 12 yard pass from Jay Cutler (Robbie Gould kick),0,7
1,1,6:52,Bills,EJ Manuel 2 yard rush (Dan Carpenter kick),7,7
2,2,8:07,Bills,Dan Carpenter 50 yard field goal,10,7
3,2,5:30,Bills,C.J. Spiller 7 yard pass from EJ Manuel (Dan Carpenter kick),17,7
4,3,9:34,Bears,Robbie Gould 41 yard field goal,17,10
5,3,4:23,Bears,Brandon Marshall 11 yard pass from Jay Cutler (Robbie Gould kick),17,17
6,4,4:02,Bills,Dan Carpenter 33 yard field goal,20,17
7,4,0:30,Bears,Robbie Gould 37 yard field goal,20,20
8,OT,9:46,Bills,Dan Carpenter 27 yard field goal,23,20
