,Quarter,Tm,Detail,PHI,MIN
0,1.0,Eagles,Mike Quick 10 yard pass from Ron Jaworski (Paul McFadden kick),7,0
1,1.0,Vikings,Alfred Anderson 4 yard rush (Jan Stenerud kick),7,7
2,2.0,Eagles,Mike Quick 21 yard pass from Ron Jaworski (Paul McFadden kick),14,7
3,2.0,Eagles,Earnest Jackson 2 yard rush (Paul McFadden kick),21,7
4,2.0,Eagles,Paul McFadden 26 yard field goal,24,7
5,2.0,Vikings,Ted Brown 2 yard pass from Tommy Kramer (Jan Stenerud kick),24,14
6,3.0,Vikings,Darrin Nelson 25 yard pass from Tommy Kramer (Jan Stenerud kick),24,21
7,3.0,Eagles,Earnest Jackson 5 yard rush (Paul McFadden kick),31,21
8,3.0,Vikings,Darrin Nelson 8 yard rush (Jan Stenerud kick),31,28
9,3.0,Vikings,Ted Brown 1 yard rush (Jan Stenerud kick),31,35
10,4.0,Eagles,Paul McFadden 43 yard field goal,34,35
11,4.0,Eagles,Paul McFadden 35 yard field goal,37,35
