,Quarter,Tm,Detail,BUF,CHI
0,1.0,Bills,Butch Byrd 23 yard interception return,6,0
1,2.0,Bears,Dick Gordon 36 yard pass from Bobby Douglass (Mac Percival kick),6,7
2,2.0,Bears,Jim Seymour 36 yard pass from Bobby Douglass (Mac Percival kick),6,14
3,3.0,Bears,Jim Seymour 53 yard pass from Bobby Douglass (Mac Percival kick),6,21
4,4.0,Bills,Marlin Briscoe 17 yard pass from Dennis Shaw (Grant Guthrie kick),13,21
5,4.0,Bears,Mac Percival 37 yard field goal,13,24
6,4.0,Bears,Dick Gordon 28 yard pass from Bobby Douglass (Mac Percival kick),13,31
