,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Mark Duper 9 yard pass from Dan Marino (Fuad Reveiz kick),7,0
1,1.0,Patriots,Tony Collins 4 yard rush (Tony Franklin kick),7,7
2,2.0,Dolphins,Mark Duper 25 yard pass from Dan Marino (Fuad Reveiz kick),14,7
3,2.0,Dolphins,Ron Davenport 1 yard pass from Dan Marino (Fuad Reveiz kick),21,7
4,2.0,Patriots,Irving Fryar 17 yard pass from Steve Grogan (Tony Franklin kick),21,14
5,3.0,Patriots,Tony Collins 7 yard rush (Tony Franklin kick),21,21
6,3.0,Patriots,Ronnie Lippett 20 yard interception return (Tony Franklin kick),21,28
