,Quarter,Time,Tm,Detail,CIN,LAR
0,1.0,6:44,Rams,Greg Zuerlein 23 yard field goal,0,3
1,2.0,15:00,Bengals,Randy Bullock 28 yard field goal,3,3
2,2.0,10:49,Rams,Josh Reynolds 31 yard pass from Jared Goff (Greg Zuerlein kick),3,10
3,2.0,5:22,Bengals,Joe Mixon 1 yard pass from Andy Dalton (Randy Bullock kick),10,10
4,2.0,4:11,Rams,Cooper Kupp 65 yard pass from Jared Goff (Greg Zuerlein kick),10,17
5,3.0,10:19,Rams,Todd Gurley 3 yard rush (Greg Zuerlein kick),10,24
