,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,12:25,Browns,Kevin Johnson 35 yard pass from Tim Couch (Phil Dawson kick),7,0
1,1.0,7:34,Steelers,Kris Brown 41 yard field goal,7,3
2,3.0,9:57,Steelers,Kris Brown 32 yard field goal,7,6
3,3.0,8:18,Steelers,Richard Huntley 5 yard rush (run failed),7,12
4,4.0,10:10,Steelers,Kris Brown 47 yard field goal,7,15
5,4.0,5:12,Browns,Marc Edwards 5 yard pass from Tim Couch (run failed),13,15
6,4.0,0:00,Browns,Phil Dawson 39 yard field goal,16,15
