,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Ray Wersching 30 yard field goal,0,3
1,1.0,49ers,Dwight Clark 4 yard pass from Jeff Kemp (Ray Wersching kick),0,10
2,1.0,Saints,Morten Andersen 44 yard field goal,3,10
3,2.0,Saints,Eugene Goodlow 29 yard pass from Dalton Hilliard (Morten Andersen kick),10,10
4,2.0,49ers,Ray Wersching 40 yard field goal,10,13
5,3.0,Saints,Mel Gray 101 yard kickoff return (Morten Andersen kick),17,13
6,3.0,49ers,Derrick Harmon 5 yard rush (Ray Wersching kick),17,20
7,4.0,49ers,Ray Wersching 28 yard field goal,17,23
8,4.0,49ers,Ray Wersching 32 yard field goal,17,26
