,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,,Bears,Kevin Butler 25 yard field goal,3,0
1,1.0,,Packers,Robert Brooks 12 yard pass from Brett Favre (Chris Jacke kick),3,7
2,2.0,,Packers,Chris Jacke 39 yard field goal,3,10
3,2.0,,Packers,Edgar Bennett 4 yard rush (Chris Jacke kick),3,17
4,2.0,,Packers,Sterling Sharpe 13 yard pass from Brett Favre (Chris Jacke kick),3,24
5,3.0,,Packers,Sterling Sharpe 22 yard pass from Brett Favre (Chris Jacke kick),3,31
6,3.0,,Packers,Chris Jacke 24 yard field goal,3,34
7,4.0,,Packers,Chris Jacke 20 yard field goal,3,37
8,4.0,,Packers,Chris Jacke 29 yard field goal,3,40
