,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,George Gulyanics 1 yard rush (Johnny Lujack kick),7,0
1,1.0,Bears,George Blanda 29 yard field goal,10,0
2,2.0,Bears,Ken Kavanaugh 35 yard pass from Johnny Lujack (Johnny Lujack kick),17,0
3,3.0,Cardinals,Elmer Angsman 1 yard rush (Vinnie Yablonski kick),17,7
