,Quarter,Tm,Detail,RAC,GNB
0,2.0,Legion,Hank Gillo unknown yard field goal,3,0
1,2.0,Legion,Milt Romney unknown yard pass from Shorty Barr (Hank Gillo kick),10,0
2,3.0,Legion,Death Halladay unknown yard pass from Shorty Barr (Hank Gillo kick),17,0
3,3.0,Packers,Cub Buck unknown yard field goal,17,3
4,4.0,Legion,Al Elliott unknown yard pass from Shorty Barr (Hank Gillo kick),24,3
