,Quarter,Tm,Detail,NYY,FRN
0,2,Yankees,Gibby Welch 7 yard pass from Wild Bill Kelly (Bo Molenda kick),7,0
1,3,Yankees,Bill Pritchard 52 yard pass from Wild Bill Kelly,13,0
