,Quarter,Tm,Detail,DAL,CHI
0,1,Bears,Rick Casares 5 yard rush (John Aveni kick),0,7
1,2,Bears,Johnny Morris 20 yard pass from Ed Brown (John Aveni kick),0,14
2,3,Cowboys,Don McIlhenny 64 yard pass from Don Heinrich (Fred Cone kick),7,14
3,4,Bears,John Aveni 20 yard field goal,7,17
