,Quarter,Time,Tm,Detail,CHI,DEN
0,1.0,,Bears,Jeff Jaeger 35 yard field goal,3,0
1,1.0,,Broncos,Shannon Sharpe 15 yard pass from John Elway (Jason Elam kick),3,7
2,2.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),3,14
3,3.0,,Bears,Curtis Conway 11 yard pass from Dave Krieg (pass failed),9,14
4,4.0,,Broncos,Jason Elam 24 yard field goal,9,17
5,4.0,,Bears,Jeff Jaeger 48 yard field goal,12,17
