,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,Don Paul 15 yard rush (Cliff Patton kick),0,7
1,1.0,Redskins,Bill Dudley 37 yard field goal,3,7
2,1.0,Redskins,Joe Tereshinski 8 yard pass from Sammy Baugh (Bill Dudley kick),10,7
3,2.0,Cardinals,Fran Polsfoot 72 yard pass from Jim Hardy (Cliff Patton kick),10,14
4,4.0,Redskins,Rob Goode 3 yard rush (Bill Dudley kick),17,14
5,4.0,Cardinals,Cliff Patton 17 yard field goal,17,17
6,4.0,Redskins,Bill Dudley 18 yard field goal,20,17
