,Quarter,Tm,Detail,OOR,CRD
0,1.0,Cardinals,Art Folz 2 yard rush (Art Folz kick),0,7
1,1.0,Indians,10 yard pass from Emmett McLemore,6,7
2,2.0,Cardinals,Ralph Horween 3 yard rush,6,13
3,2.0,Cardinals,Bob Koehler 20 yard rush,6,19
4,3.0,Cardinals,Arnie Horween 35 yard field goal,6,22
5,4.0,Indians,Ted Buffalo 26 yard fumble return (Emmett McLemore kick),13,22
6,4.0,Indians,Joe Guyon 96 yard interception return,19,22
