,Quarter,Tm,Detail,NYG,BAL
0,1.0,Colts,Lenny Moore 60 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,1.0,Giants,Pat Summerall 23 yard field goal,3,7
2,2.0,Giants,Pat Summerall 37 yard field goal,6,7
3,3.0,Giants,Pat Summerall 22 yard field goal,9,7
4,4.0,Colts,Johnny Unitas 4 yard rush (Steve Myhra kick),9,14
5,4.0,Colts,Jerry Richardson 12 yard pass from Johnny Unitas (Steve Myhra kick),9,21
6,4.0,Colts,Johnny Sample 42 yard interception return (Steve Myhra kick),9,28
7,4.0,Colts,Steve Myhra 25 yard field goal,9,31
8,4.0,Giants,Bob Schnelker 32 yard pass from Charlie Conerly (Pat Summerall kick),16,31
