,Quarter,Tm,Detail,MIN,MIA
0,1.0,Dolphins,David Woodley 1 yard rush,0,6
1,2.0,Vikings,Tommy Kramer 18 yard rush (Rick Danmeier kick),7,6
2,2.0,Dolphins,Uwe von Schamann 34 yard field goal,7,9
3,3.0,Dolphins,Uwe von Schamann 28 yard field goal,7,12
4,4.0,Dolphins,Andra Franklin 9 yard rush (Uwe von Schamann kick),7,19
5,4.0,Vikings,Tony Galbreath 1 yard rush (Rick Danmeier kick),14,19
6,4.0,Dolphins,Uwe von Schamann 24 yard field goal,14,22
