,Quarter,Tm,Detail,SFO,ATL
0,1.0,Falcons,Mick Luckhurst 32 yard field goal,0,3
1,1.0,49ers,Freddie Solomon 64 yard pass from Joe Montana (Ray Wersching kick),7,3
2,2.0,49ers,Dwight Clark 6 yard pass from Joe Montana (Ray Wersching kick),14,3
3,2.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),14,10
4,2.0,49ers,Gary Johnson 34 yard defensive fumble return (Ray Wersching kick),21,10
5,3.0,Falcons,Alfred Jackson 48 yard pass from Mike Moroski (Mick Luckhurst kick),21,17
6,3.0,49ers,Dana McLemore 54 yard interception return (Ray Wersching kick),28,17
7,4.0,49ers,Roger Craig 5 yard rush (Ray Wersching kick),35,17
