,Quarter,Tm,Detail,ATL,RAM
0,1,Rams,Harold Jackson 40 yard pass from James Harris (David Ray kick),0,7
1,3,Rams,Tony Baker 1 yard rush (David Ray kick),0,14
2,4,Rams,Harold Jackson 25 yard pass from James Harris (David Ray kick),0,21
