,Quarter,Tm,Detail,BAL,NWE
0,1.0,Colts,Mike Wood 48 yard field goal,3,0
1,1.0,Colts,Curtis Dickey 19 yard rush (Mike Wood kick),10,0
2,2.0,Patriots,Mosi Tatupu 8 yard pass from Andy Johnson (John Smith kick),10,7
3,2.0,Colts,Mike Wood 19 yard field goal,13,7
4,2.0,Patriots,Carlos Pennywell 22 yard pass from Steve Grogan (John Smith kick),13,14
5,3.0,Colts,Mike Wood 35 yard field goal,16,14
6,4.0,Colts,Randy McMillan 35 yard rush,22,14
7,4.0,Patriots,Don Calhoun 1 yard rush (John Smith kick),22,21
8,4.0,Colts,Randy McMillan 2 yard rush (Mike Wood kick),29,21
9,4.0,Patriots,Don Hasselbeck 4 yard pass from Steve Grogan (John Smith kick),29,28
