,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,2:29,Buccaneers,Martin Gramatica 25 yard field goal,0,3
1,2.0,13:49,Buccaneers,Martin Gramatica 38 yard field goal,0,6
2,2.0,8:21,Bears,Marty Booker 28 yard pass from Jim Miller (Paul Edinger kick),7,6
3,2.0,0:23,Buccaneers,Martin Gramatica 26 yard field goal,7,9
4,3.0,11:03,Bears,Marty Booker 44 yard pass from Jim Miller (Paul Edinger kick),14,9
5,3.0,9:23,Bears,Marty Booker 66 yard pass from Jim Miller (Paul Edinger kick),21,9
6,3.0,4:01,Bears,Paul Edinger 26 yard field goal,24,9
7,4.0,12:25,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),24,16
8,4.0,6:59,Bears,Paul Edinger 40 yard field goal,27,16
9,4.0,2:29,Buccaneers,Brad Johnson 1 yard rush (Mike Alstott pass from Brad Johnson ),27,24
